# source: https://assets.lulu.com/media/specs/lulu-print-api-spec-sheet.xlsx
# fetched: 2026-09-03
# products: 3277
legacy_sku,sku,book_type,min_page,max_page,trim_width_in,trim_height_in,trim_width_mm,trim_height_mm,bleed_width_in,bleed_height_in,bleed_width_mm,bleed_height_mm,interior_color,print_quality,bind,interior_number,paper_type,interior_ppi,lamination,linen_color,foil_color
0500X0800BWPRECW060UC444MXX,0500X0800.BW.PRE.CW.060UC444.MXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Case Wrap,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWPRECW060UW444GXX,0500X0800.BW.PRE.CW.060UW444.GXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Case Wrap,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWPRECW060UW444MXX,0500X0800.BW.PRE.CW.060UW444.MXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Case Wrap,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWPRECW080CW444GXX,0500X0800.BW.PRE.CW.080CW444.GXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Case Wrap,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWPRECW080CW444MXX,0500X0800.BW.PRE.CW.080CW444.MXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Case Wrap,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWPREPB060UC444GXX,0500X0800.BW.PRE.PB.060UC444.GXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Perfect,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWPREPB060UC444MXX,0500X0800.BW.PRE.PB.060UC444.MXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Perfect,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWPREPB060UW444GXX,0500X0800.BW.PRE.PB.060UW444.GXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Perfect,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWPREPB060UW444MXX,0500X0800.BW.PRE.PB.060UW444.MXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Perfect,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWPREPB080CW444GXX,0500X0800.BW.PRE.PB.080CW444.GXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Perfect,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWPREPB080CW444MXX,0500X0800.BW.PRE.PB.080CW444.MXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Perfect,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWPRESS060UC444GXX,0500X0800.BW.PRE.SS.060UC444.GXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Saddle Stitch,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWPRESS060UC444MXX,0500X0800.BW.PRE.SS.060UC444.MXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Saddle Stitch,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWPRESS060UW444GXX,0500X0800.BW.PRE.SS.060UW444.GXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Saddle Stitch,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWPRESS060UW444MXX,0500X0800.BW.PRE.SS.060UW444.MXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Saddle Stitch,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWPRESS080CW444GXX,0500X0800.BW.PRE.SS.080CW444.GXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Saddle Stitch,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWPRESS080CW444MXX,0500X0800.BW.PRE.SS.080CW444.MXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Saddle Stitch,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWSTDCO060UC444GXX,0500X0800.BW.STD.CO.060UC444.GXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Coil,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWSTDCO060UC444MXX,0500X0800.BW.STD.CO.060UC444.MXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Coil,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWSTDCO060UW444GXX,0500X0800.BW.STD.CO.060UW444.GXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Coil,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWSTDCO060UW444MXX,0500X0800.BW.STD.CO.060UW444.MXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Coil,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWSTDCO080CW444GXX,0500X0800.BW.STD.CO.080CW444.GXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Coil,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWSTDCO080CW444MXX,0500X0800.BW.STD.CO.080CW444.MXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Coil,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWSTDCW060UC444GXX,0500X0800.BW.STD.CW.060UC444.GXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWSTDCW060UC444MXX,0500X0800.BW.STD.CW.060UC444.MXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWSTDCW060UW444GXX,0500X0800.BW.STD.CW.060UW444.GXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWSTDCW060UW444MXX,0500X0800.BW.STD.CW.060UW444.MXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWSTDCW080CW444GXX,0500X0800.BW.STD.CW.080CW444.GXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Case Wrap,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWSTDCW080CW444MXX,0500X0800.BW.STD.CW.080CW444.MXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Case Wrap,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWSTDPB060UC444GXX,0500X0800.BW.STD.PB.060UC444.GXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Perfect,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWSTDPB060UC444MXX,0500X0800.BW.STD.PB.060UC444.MXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Perfect,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWSTDPB060UW444GXX,0500X0800.BW.STD.PB.060UW444.GXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Perfect,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWSTDPB060UW444MXX,0500X0800.BW.STD.PB.060UW444.MXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Perfect,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWSTDPB080CW444GXX,0500X0800.BW.STD.PB.080CW444.GXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Perfect,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWSTDPB080CW444MXX,0500X0800.BW.STD.PB.080CW444.MXX,Novella,32.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Perfect,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWSTDSS060UC444GXX,0500X0800.BW.STD.SS.060UC444.GXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWSTDSS060UC444MXX,0500X0800.BW.STD.SS.060UC444.MXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWSTDSS060UW444GXX,0500X0800.BW.STD.SS.060UW444.GXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWSTDSS060UW444MXX,0500X0800.BW.STD.SS.060UW444.MXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWSTDSS080CW444GXX,0500X0800.BW.STD.SS.080CW444.GXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Saddle Stitch,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWSTDSS080CW444MXX,0500X0800.BW.STD.SS.080CW444.MXX,Novella,4.0,48.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Standard,Saddle Stitch,80.0,80# Coated White,444.0,Matte,X,X
